f_time,lat,lng,intensity,wind,minimum central pressure,type
12hr,32.5,151.5,TS,65,996,forecast
24hr,32.0,150.5,TS,65,996,forecast
36hr,34.0,149.0,TS,75,992,forecast
48hr,36.5,147.5,TS,75,992,forecast
60hr,38.0,144.0,TS,85,990,forecast
72hr,37.5,141.0,TS,85,990,forecast
96hr,36.0,133.5,TD,55,998,forecast
