f_time,lat,lng,intensity,wind,minimum central pressure,type
12hr,22.0,141.5,TD,55,997,forecast
24hr,23.0,145.0,TS,65,995,forecast
36hr,26.0,146.5,TS,75,992,forecast
48hr,28.5,150.0,TS,85,988,forecast
60hr,29.5,150.5,TS,80,990,forecast
72hr,29.5,153.0,TS,75,992,forecast
96hr,31.0,152.0,TS,65,995,forecast
120hr,33.5,150.0,TD,55,997,forecast
