f_time,lat,lng,intensity,wind,minimum central pressure,type
12hr,21.0,150.0,TS,75,995,forecast
24hr,22.5,153.5,TS,85,990,forecast
36hr,25.5,156.0,TS,85,990,forecast
48hr,27.0,158.0,TS,75,995,forecast
60hr,29.5,160.0,TS,65,998,forecast
72hr,31.5,164.0,TD,45,999,forecast
