f_time,lat,lng,intensity,wind,minimum central pressure,type
12hr,16.5,123.0,TD,55,1000,forecast
24hr,17.0,122.5,TS,65,998,forecast
36hr,17.5,122.5,TS,65,998,forecast
48hr,18.0,123.0,TD,55,1000,forecast
60hr,17.5,123.5,TD,55,1000,forecast
72hr,17.3,124.0,TD,45,1002,forecast
96hr,17.8,128.5,LPA,40,1002,forecast
