f_time,lat,lng,intensity,wind,minimum central pressure,type
12hr,15.5,116.0,TD,55,1002,forecast
24hr,16.5,114.5,TS,65,998,forecast
36hr,17.8,112.0,TS,85,990,forecast
48hr,18.8,110.5,STS,90,985,forecast
60hr,19.8,109.0,TS,85,990,forecast
72hr,21.0,108.5,STS,90,985,forecast
96hr,23.5,109.0,TS,65,998,forecast
120hr,25.5,110.0,TD,45,1002,forecast
